longitude,latitude,NDWI
-117.67481064323673,33.87850604843009,-0.18756059
-117.69277694891912,33.885963728773746,-0.14892524
-117.68379379607792,33.885963728773746,-0.1835518
-117.67481064323673,33.885963728773746,-0.17514253
-117.70176010176029,33.89342075723637,-0.17599969
-117.69277694891912,33.89342075723637,-0.1784735
-117.68379379607792,33.89342075723637,-0.17478602
-117.67481064323673,33.89342075723637,-0.17453597
-117.66582749039553,33.89342075723637,-0.1754524
-117.65684433755433,33.89342075723637,-0.16937338
-117.71074325460148,33.900877133748665,-0.1544887
-117.70176010176029,33.900877133748665,-0.1740625
-117.69277694891912,33.900877133748665,-0.16128492
-117.68379379607792,33.900877133748665,-0.17009331
-117.67481064323673,33.900877133748665,-0.17694174
-117.66582749039553,33.900877133748665,-0.17666577
-117.65684433755433,33.900877133748665,-0.16966961
-117.71972640744268,33.90833285824133,-0.16553876
-117.71074325460148,33.90833285824133,-0.16968489
-117.70176010176029,33.90833285824133,-0.1760463
-117.69277694891912,33.90833285824133,-0.18102773
-117.68379379607792,33.90833285824133,-0.17420895
-117.67481064323673,33.90833285824133,-0.16782461
-117.66582749039553,33.90833285824133,-0.16235156
-117.65684433755433,33.90833285824133,-0.17890173
-117.73769271312509,33.915787930645166,-0.15370509
-117.72870956028387,33.915787930645166,-0.19422624
-117.71972640744268,33.915787930645166,-0.19757338
-117.71074325460148,33.915787930645166,-0.1859788
-117.70176010176029,33.915787930645166,-0.19422542
-117.69277694891912,33.915787930645166,-0.17572959
-117.68379379607792,33.915787930645166,-0.18090358
-117.67481064323673,33.915787930645166,-0.15513536
-117.66582749039553,33.915787930645166,-0.1636321
-117.65684433755433,33.915787930645166,-0.18465595
-117.74667586596628,33.923242350891,-0.18698883
-117.73769271312509,33.923242350891,-0.1729185
-117.72870956028387,33.923242350891,-0.180668
-117.71972640744268,33.923242350891,-0.18849333
-117.71074325460148,33.923242350891,-0.18386593
-117.70176010176029,33.923242350891,-0.17618938
-117.69277694891912,33.923242350891,-0.17137066
-117.68379379607792,33.923242350891,-0.17972249
-117.67481064323673,33.923242350891,-0.16814366
-117.66582749039553,33.923242350891,-0.16300426
-117.65684433755433,33.923242350891,-0.17136517
-117.75565901880748,33.93069611890971,-0.16244471
-117.74667586596628,33.93069611890971,-0.17886107
-117.73769271312509,33.93069611890971,-0.1819017
-117.72870956028387,33.93069611890971,-0.17402695
-117.71972640744268,33.93069611890971,-0.18202846
-117.71074325460148,33.93069611890971,-0.18267332
-117.70176010176029,33.93069611890971,-0.17732055
-117.69277694891912,33.93069611890971,-0.17515244
-117.68379379607792,33.93069611890971,-0.17964506
-117.67481064323673,33.93069611890971,-0.18225187
-117.66582749039553,33.93069611890971,-0.1609784
-117.65684433755433,33.93069611890971,-0.16129032
-117.64786118471314,33.93069611890971,-0.24086773
-117.63887803187194,33.93069611890971,-0.19802421
-117.62989487903073,33.93069611890971,-0.190288
-117.62091172618953,33.93069611890971,-0.2128614
-117.61192857334834,33.93069611890971,-0.20190553
-117.76464217164867,33.93814923463222,-0.21435794
-117.75565901880748,33.93814923463222,-0.19777587
-117.74667586596628,33.93814923463222,-0.19442007
-117.73769271312509,33.93814923463222,-0.17572758
-117.72870956028387,33.93814923463222,-0.18778035
-117.71972640744268,33.93814923463222,-0.18373017
-117.71074325460148,33.93814923463222,-0.17805986
-117.70176010176029,33.93814923463222,-0.17498544
-117.69277694891912,33.93814923463222,-0.1902405
-117.68379379607792,33.93814923463222,-0.19987045
-117.67481064323673,33.93814923463222,-0.17278321
-117.66582749039553,33.93814923463222,-0.17824057
-117.65684433755433,33.93814923463222,-0.24752134
-117.64786118471314,33.93814923463222,-0.27553174
-117.63887803187194,33.93814923463222,-0.21195355
-117.62989487903073,33.93814923463222,-0.14163947
-117.62091172618953,33.93814923463222,-0.19554149
-117.61192857334834,33.93814923463222,-0.17554332
-117.77362532448987,33.9456016979895,-0.19629346
-117.76464217164867,33.9456016979895,-0.19422992
-117.75565901880748,33.9456016979895,-0.17136776
-117.74667586596628,33.9456016979895,-0.1805316
-117.73769271312509,33.9456016979895,-0.17082071
-117.72870956028387,33.9456016979895,-0.19285792
-117.71972640744268,33.9456016979895,-0.17785181
-117.71074325460148,33.9456016979895,-0.18030709
-117.70176010176029,33.9456016979895,-0.17549811
