longitude,latitude,elevation
-117.79615815114374,33.98555045866725,350.0
-117.79615815114374,33.97656730582605,304.0
-117.78717499830255,33.994533611508444,306.0
-117.78717499830255,33.98555045866725,303.0
-117.78717499830255,33.97656730582605,302.0
-117.78717499830255,33.967584152984855,325.0
-117.78717499830255,33.95860100014366,365.0
-117.78717499830255,33.94961784730246,328.0
-117.77819184546135,34.00351676434964,297.0
-117.77819184546135,33.994533611508444,325.0
-117.77819184546135,33.98555045866725,350.0
-117.77819184546135,33.97656730582605,335.0
-117.77819184546135,33.967584152984855,364.0
-117.77819184546135,33.95860100014366,312.0
-117.77819184546135,33.94961784730246,335.0
-117.76920869262015,34.00351676434964,373.0
-117.76920869262015,33.994533611508444,341.0
-117.76920869262015,33.98555045866725,367.0
-117.76920869262015,33.97656730582605,364.0
-117.76920869262015,33.95860100014366,346.0
-117.76920869262015,33.94961784730246,303.0
-117.76920869262015,33.940634694461274,379.0
-117.76022553977896,34.021483070032026,340.0
-117.76022553977896,34.01249991719083,332.0
-117.76022553977896,34.00351676434964,309.0
-117.76022553977896,33.994533611508444,293.0
-117.76022553977896,33.98555045866725,314.0
-117.76022553977896,33.97656730582605,347.0
-117.76471711619956,33.967584152984855,365.0
-117.76022553977896,33.95860100014366,309.0
-117.76022553977896,33.94961784730246,395.0
-117.76022553977896,33.940634694461274,405.0
-117.75124238693778,34.01249991719083,342.0
-117.75124238693778,34.00351676434964,324.0
-117.75124238693778,33.994533611508444,244.0
-117.75124238693778,33.98555045866725,282.0
-117.75124238693778,33.97656730582605,302.0
-117.75124238693778,33.967584152984855,304.0
-117.75124238693778,33.95860100014366,356.0
-117.75124238693778,33.94961784730246,426.0
-117.75124238693778,33.940634694461274,420.0
-117.75573396335837,33.93165154162008,309.0
-117.74225923409657,34.01249991719083,309.0
-117.74225923409657,34.00351676434964,257.0
-117.74225923409657,33.994533611508444,273.0
-117.74225923409657,33.98555045866725,304.0
-117.74225923409657,33.97656730582605,250.0
-117.74225923409657,33.967584152984855,293.0
-117.74225923409657,33.95860100014366,362.0
-117.74225923409657,33.94961784730246,366.0
-117.74225923409657,33.940634694461274,367.0
-117.74225923409657,33.93165154162008,364.0
-117.74225923409657,33.92266838877888,365.0
-117.73327608125538,34.01249991719083,231.0
-117.73327608125538,34.00351676434964,236.0
-117.73327608125538,33.994533611508444,243.0
-117.73327608125538,33.98555045866725,243.0
-117.73327608125538,33.97656730582605,243.0
-117.73327608125538,33.96309257656426,304.0
-117.73327608125538,33.94961784730246,311.0
-117.73327608125538,33.940634694461274,367.0
-117.73327608125538,33.93165154162008,406.0
-117.73327608125538,33.92266838877888,425.0
-117.73327608125538,33.913685235937685,486.0
-117.72429292841417,34.03944937571442,247.0
-117.72429292841417,34.025974646452624,230.0
-117.72429292841417,34.01249991719083,216.0
-117.72429292841417,34.00351676434964,233.0
-117.72429292841417,33.994533611508444,212.0
-117.72429292841417,33.98555045866725,230.0
-117.72429292841417,33.97656730582605,243.0
-117.72429292841417,33.967584152984855,244.0
-117.72429292841417,33.95860100014366,244.0
-117.72429292841417,33.94961784730246,294.0
-117.72429292841417,33.940634694461274,360.0
-117.72429292841417,33.93165154162008,403.0
-117.72429292841417,33.92266838877888,411.0
-117.72429292841417,33.913685235937685,377.0
-117.71530977557299,34.066398834238,299.0
-117.71530977557299,34.05741568139681,282.0
-117.71530977557299,34.048432528555615,269.0
-117.71530977557299,34.03944937571442,246.0
-117.71530977557299,34.03046622287322,239.0
-117.71530977557299,34.021483070032026,239.0
-117.71530977557299,34.01249991719083,217.0
-117.71530977557299,34.00351676434964,209.0
-117.71530977557299,33.990042035087846,214.0
-117.71530977557299,33.97656730582605,224.0
-117.71530977557299,33.967584152984855,227.0
-117.71530977557299,33.95860100014366,245.0
-117.71530977557299,33.94961784730246,303.0
-117.71530977557299,33.940634694461274,352.0
-117.71530977557299,33.93165154162008,304.0
-117.71530977557299,33.92266838877888,307.0
-117.71530977557299,33.913685235937685,337.0
-117.71530977557299,33.90470208309649,426.0
-117.7063266227318,34.08436513992039,335.0
-117.7063266227318,34.0753819870792,310.0
-117.7063266227318,34.066398834238,299.0
-117.7063266227318,34.05741568139681,282.0
-117.7063266227318,34.048432528555615,271.0
-117.7063266227318,34.03944937571442,250.0
-117.7063266227318,34.03046622287322,238.0
-117.7063266227318,34.021483070032026,226.0
-117.7063266227318,34.01249991719083,219.0
-117.7063266227318,34.00351676434964,206.0
-117.7063266227318,33.994533611508444,197.0
-117.7063266227318,33.98555045866725,197.0
-117.7063266227318,33.97656730582605,200.0
-117.7063266227318,33.967584152984855,214.0
-117.7063266227318,33.95860100014366,234.0
-117.7063266227318,33.93165154162008,296.0
-117.7063266227318,33.91817681235828,303.0
-117.7063266227318,33.90470208309649,330.0
-117.7063266227318,33.89571893025529,331.0
-117.6973434698906,34.11131459844398,414.0
-117.6973434698906,34.102331445602786,398.0
-117.6973434698906,34.09334829276159,369.0
-117.6973434698906,34.08436513992039,339.0
-117.6973434698906,34.0753819870792,315.0
-117.6973434698906,34.066398834238,298.0
-117.6973434698906,34.05741568139681,293.0
-117.6973434698906,34.048432528555615,280.0
-117.6973434698906,34.03944937571442,253.0
-117.6973434698906,34.03046622287322,242.0
-117.6973434698906,34.021483070032026,227.0
-117.6973434698906,34.01249991719083,217.0
-117.6973434698906,34.00351676434964,213.0
-117.6973434698906,33.994533611508444,200.0
-117.6973434698906,33.97656730582605,190.0
-117.6973434698906,33.967584152984855,197.0
-117.6973434698906,33.95860100014366,222.0
-117.6973434698906,33.94961784730246,277.0
-117.7033322384514,33.943629078741665,304.0
-117.6973434698906,33.93165154162008,304.0
-117.6973434698906,33.92266838877888,243.0
-117.6973434698906,33.913685235937685,243.0
-117.6973434698906,33.90470208309649,268.0
-117.6973434698906,33.89571893025529,299.0
-117.6883603170494,34.12928090412637,490.0
-117.6883603170494,34.12029775128518,465.0
-117.6883603170494,34.11131459844398,433.0
-117.6883603170494,34.102331445602786,408.0
-117.6883603170494,34.09334829276159,378.0
-117.6883603170494,34.08436513992039,347.0
-117.6883603170494,34.0753819870792,323.0
-117.6883603170494,34.066398834238,312.0
-117.6883603170494,34.05741568139681,299.0
-117.6883603170494,34.048432528555615,283.0
-117.6883603170494,34.03944937571442,257.0
-117.6883603170494,34.03046622287322,246.0
-117.6883603170494,34.021483070032026,232.0
-117.6883603170494,34.01249991719083,220.0
-117.6883603170494,34.00351676434964,209.0
-117.6883603170494,33.994533611508444,198.0
-117.69285189346999,33.98555045866725,188.0
-117.6883603170494,33.94961784730246,243.0
-117.6883603170494,33.940634694461274,281.0
-117.6883603170494,33.93165154162008,304.0
-117.6883603170494,33.92266838877888,255.0
-117.6883603170494,33.913685235937685,249.0
-117.6883603170494,33.90470208309649,208.0
-117.6883603170494,33.89571893025529,232.0
-117.6883603170494,33.8867357774141,182.0
-117.6793771642082,34.15623036264996,837.0
-117.6793771642082,34.14724720980876,565.0
-117.6793771642082,34.138264056967564,537.0
-117.6793771642082,34.12928090412637,507.0
-117.6793771642082,34.12029775128518,474.0
-117.6793771642082,34.11131459844398,437.0
-117.6793771642082,34.102331445602786,410.0
-117.6793771642082,34.09334829276159,377.0
-117.6793771642082,34.08436513992039,353.0
-117.6793771642082,34.0753819870792,332.0
-117.6793771642082,34.066398834238,314.0
-117.6793771642082,34.05741568139681,304.0
-117.6793771642082,34.048432528555615,281.0
-117.6793771642082,34.03944937571442,262.0
-117.6793771642082,34.03046622287322,242.0
-117.6793771642082,34.021483070032026,233.0
-117.6793771642082,34.01249991719083,222.0
-117.6793771642082,34.00351676434964,212.0
-117.6793771642082,33.994533611508444,200.0
-117.6793771642082,33.98555045866725,188.0
-117.6793771642082,33.94961784730246,197.0
-117.6793771642082,33.940634694461274,235.0
-117.6793771642082,33.93165154162008,271.0
-117.6793771642082,33.913685235937685,302.0
-117.6793771642082,33.90470208309649,241.0
-117.6793771642082,33.89571893025529,182.0
-117.6793771642082,33.8867357774141,304.0
-117.6793771642082,33.877752624572906,179.0
-117.67039401136701,34.192162974014735,1063.0
-117.67039401136701,34.18317982117354,991.0
-117.67039401136701,34.17419666833235,890.0
-117.67039401136701,34.16521351549115,828.0
-117.67039401136701,34.15623036264996,768.0
-117.67039401136701,34.14724720980876,595.0
-117.67039401136701,34.138264056967564,555.0
-117.67039401136701,34.12928090412637,513.0
-117.67039401136701,34.12029775128518,479.0
-117.67039401136701,34.11131459844398,443.0
-117.67039401136701,34.102331445602786,407.0
-117.67039401136701,34.09334829276159,385.0
-117.67039401136701,34.08436513992039,357.0
-117.67039401136701,34.0753819870792,334.0
-117.67039401136701,34.05741568139681,307.0
-117.67039401136701,34.048432528555615,289.0
-117.67039401136701,34.03944937571442,265.0
-117.67039401136701,34.03046622287322,254.0
-117.67039401136701,34.021483070032026,239.0
-117.67039401136701,34.01249991719083,226.0
-117.67039401136701,34.00351676434964,212.0
-117.67039401136701,33.994533611508444,203.0
-117.67039401136701,33.98555045866725,192.0
-117.67039401136701,33.97656730582605,185.0
-117.67039401136701,33.940634694461274,182.0
-117.67039401136701,33.93165154162008,188.0
-117.67039401136701,33.90470208309649,249.0
-117.67039401136701,33.89571893025529,225.0
-117.66141085852581,34.8209836728984,893.0
-117.66141085852581,34.812000520057204,889.0
-117.66141085852581,34.803017367216015,882.0
-117.66141085852581,34.79403421437482,907.0
-117.66141085852581,34.78505106153362,882.0
-117.66141085852581,34.776067908692426,948.0
-117.66141085852581,34.76708475585123,918.0
-117.66141085852581,34.749118450168844,901.0
-117.66141085852581,34.74013529732765,895.0
-117.66141085852581,34.73115214448645,889.0
-117.66141085852581,34.722168991645255,892.0
-117.66141085852581,34.71318583880406,928.0
-117.66141085852581,34.70420268596286,952.0
-117.66141085852581,34.695219533121666,916.0
-117.66141085852581,34.68623638028048,909.0
-117.66141085852581,34.67725322743928,905.0
-117.66141085852581,34.668270074598084,898.0
-117.66141085852581,34.65928692175689,900.0
-117.66141085852581,34.65030376891569,930.0
-117.66141085852581,34.641320616074495,941.0
-117.66141085852581,34.632337463233306,903.0
-117.66141085852581,34.62335431039211,880.0
-117.66141085852581,34.61437115755091,901.0
-117.66141085852581,34.60538800470972,889.0
-117.66141085852581,34.59640485186852,895.0
-117.66141085852581,34.587421699027324,905.0
-117.66141085852581,34.56945539334494,925.0
-117.66141085852581,34.56047224050374,935.0
-117.66141085852581,34.22809558537952,1201.0
-117.66141085852581,34.219112432538324,1269.0
-117.66141085852581,34.21012927969713,1263.0
-117.66141085852581,34.20114612685593,1343.0
-117.66141085852581,34.192162974014735,1297.0
-117.66141085852581,34.18317982117354,1176.0
-117.66141085852581,34.17419666833235,872.0
-117.66141085852581,34.16521351549115,1111.0
-117.66141085852581,34.15623036264996,805.0
-117.66141085852581,34.14724720980876,575.0
-117.66141085852581,34.138264056967564,538.0
-117.66141085852581,34.12928090412637,499.0
-117.66141085852581,34.12029775128518,463.0
-117.66141085852581,34.11131459844398,436.0
-117.66141085852581,34.102331445602786,404.0
-117.66141085852581,34.09334829276159,370.0
-117.66141085852581,34.08436513992039,360.0
-117.66141085852581,34.0753819870792,336.0
-117.66590243494642,34.066398834238,321.0
-117.66141085852581,34.05741568139681,307.0
-117.66141085852581,34.048432528555615,290.0
-117.66141085852581,34.03944937571442,255.0
-117.66141085852581,34.03046622287322,257.0
-117.66141085852581,34.021483070032026,243.0
-117.66141085852581,34.01249991719083,222.0
-117.66141085852581,34.00351676434964,213.0
-117.66141085852581,33.994533611508444,202.0
-117.66141085852581,33.98555045866725,187.0
-117.66141085852581,33.97656730582605,183.0
-117.65841647424543,33.964589768704464,178.0
-117.67611056317504,33.96105095091853,182.0
-117.66141085852581,33.93165154162008,182.0
-117.66141085852581,33.92266838877888,246.0
-117.67039401136701,33.91817681235828,304.0
-117.66141085852581,33.90470208309649,299.0
-117.66141085852581,33.89571893025529,209.0
-117.65242770568463,34.8209836728984,916.0
-117.65242770568463,34.812000520057204,912.0
-117.65242770568463,34.803017367216015,893.0
-117.65242770568463,34.79403421437482,890.0
-117.65242770568463,34.78505106153362,871.0
-117.65242770568463,34.776067908692426,897.0
-117.65242770568463,34.76708475585123,904.0
-117.6569192821052,34.75810160301003,897.0
-117.65242770568463,34.749118450168844,901.0
-117.65242770568463,34.74013529732765,892.0
-117.65242770568463,34.73115214448645,893.0
-117.65242770568463,34.722168991645255,882.0
-117.65242770568463,34.71318583880406,894.0
-117.65242770568463,34.70420268596286,906.0
-117.65242770568463,34.695219533121666,900.0
-117.65242770568463,34.68623638028048,904.0
-117.65242770568463,34.67725322743928,897.0
-117.65242770568463,34.668270074598084,884.0
-117.65242770568463,34.65928692175689,885.0
-117.65242770568463,34.65030376891569,895.0
-117.65242770568463,34.641320616074495,901.0
