GEOID,Longitude,Latitude,LST_Celsius,impervious
60259400003,-114.6662784,32.74149891,46.12106383,0.0
60250108002,-115.3924012,32.76587393,43.02849057,0.0
60250108001,-115.3514309,32.83637388,42.41965517,0.0
60250111003,-115.6905729,32.79329266,46.28,0.0
60730100132,-117.0429163,32.55361524,36.933125,0.0
60450103005,-123.6225599,39.45409411,38.53767123,0.0
60450110031,-123.7491302,39.37184881,38.53767123,0.0
60450110042,-123.6719593,39.3113135,38.53767123,0.0
60450106021,-123.3562153,39.5047248,38.53767123,0.0
60450113004,-123.3161051,39.1274992,38.53767123,0.0
60450106022,-123.4157883,39.4693057,38.53767123,0.0
60450106023,-123.4017513,39.43808697,38.53767123,0.0
60450102003,-123.494575,39.67150409,38.53767123,0.0
60450106012,-123.4308662,39.34555171,38.53767123,0.0
60450108015,-123.2226958,39.26565247,38.53767123,0.0
60450115021,-123.2028324,39.15887154,38.53767123,0.0
60450106013,-123.3255165,39.41422153,38.53767123,0.0
60450106011,-123.2760121,39.39759367,38.53767123,0.0
60450115013,-123.2123196,39.16322765,38.53767123,0.0
60450115011,-123.2108686,39.15545553,38.53767123,0.0
60450110033,-123.7921537,39.39030278,38.53767123,0.0
60450115023,-123.190427,39.14580539,38.53767123,0.0
60450115022,-123.2002161,39.1479998,38.53767123,0.0
60450110012,-123.7179548,39.24342491,38.53767123,0.0
60450110032,-123.8172545,39.38687703,38.53767123,0.0
60450110043,-123.7860882,39.33256251,38.53767123,0.0
60450110041,-123.7994658,39.30939702,38.53767123,0.0
60871006001,-122.0449947,36.96507177,38.53767123,0.0
60450114004,-123.2113252,39.13319885,38.53767123,0.0
60450103004,-123.7869407,39.41777774,38.53767123,0.0
60450115012,-123.2202578,39.16496886,38.53767123,0.0
60450105004,-123.800493,39.43493233,38.53767123,0.0
60450105005,-123.787238,39.43684931,38.53767123,0.0
60871209012,-122.0284142,37.05216929,38.53767123,0.0
60871209021,-122.0073038,37.06011671,38.53767123,0.0
60871209022,-122.0130928,37.06487878,38.53767123,0.0
60871216012,-121.9785862,36.956635,38.53767123,0.0
60871224011,-121.7825363,37.02035011,38.53767123,0.0
60871216022,-121.9705413,36.96550099,38.53767123,0.0
60871105032,-121.7677846,36.925361,38.53767123,0.0
60871103022,-121.7613727,36.91351835,38.53767123,0.0
60871105062,-121.7749844,36.92007344,38.53767123,0.0
60871102023,-121.7549965,36.93078947,38.53767123,0.0
60871105051,-121.7688507,36.9203975,38.53767123,0.0
60871105052,-121.7613364,36.91892765,38.53767123,0.0
60871102021,-121.7582324,36.92428472,38.53767123,0.0
60871102022,-121.7506412,36.92560993,38.53767123,0.0
60871102011,-121.7528992,36.92010644,38.53767123,0.0
60871103021,-121.7567202,36.91532942,38.53767123,0.0
60371171013,-118.4653217,34.23914009,44.87333333,0.0
60371352042,-118.647508,34.18402606,43.0531746,0.0
60374601015,-118.1038296,34.18642774,38.61953846,0.0
60371323022,-118.5316738,34.19567188,44.31516129,0.0
60371278043,-118.4625498,34.19656429,43.95615385,0.0
60371351152,-118.6079874,34.18472007,42.52343284,0.0
60371323011,-118.5229489,34.19925318,44.40245902,0.0
60371349072,-118.5930006,34.19248061,43.2978125,0.0
60371190032,-118.4296834,34.24736268,44.62588235,0.0
60371114011,-118.4966913,34.25392927,43.77806452,0.0
60371034011,-118.318385,34.25396878,40.52571429,0.0
60373104003,-118.3401898,34.20351919,43.87147059,0.0
60310007014,-119.631534,36.36032684,41.81138889,0.0
60310002002,-119.8796459,36.33588785,42.61194444,0.0
60376510024,-118.3239313,33.80836088,39.55333333,0.0
60376511011,-118.3326885,33.81838146,37.84492958,0.0
60376511012,-118.3381382,33.80644856,39.08694444,0.0
60376512011,-118.3721875,33.8230617,32.794,0.0
60376512211,-118.3568955,33.8224713,35.11898551,0.0
60930013002,-123.3883234,41.80029312,38.53767123,0.0
60871103011,-121.7547472,36.91038876,38.53767123,0.0
60871104012,-121.7656121,36.89793863,38.53767123,0.0
60590865023,-117.9111485,33.84527516,42.64015873,0.0
60590994023,-118.0021699,33.70825665,36.39779661,0.0
60590995094,-118.0884304,33.77324202,36.29151515,0.0
60730101033,-117.1012081,32.57981628,34.25646154,0.0
60730101042,-117.0970076,32.57283871,35.97126984,0.0
60730101032,-117.0958414,32.58042908,35.79953846,0.0
60730101061,-117.070519,32.57249544,38.55184615,0.0
60730101062,-117.0778379,32.57358191,38.39444444,0.0
60730101063,-117.0707483,32.56790228,36.375,0.0
60930013004,-122.6377412,41.93659567,38.53767123,0.0
60930002002,-121.853067,41.84532407,38.53767123,0.0
60930006002,-122.9118599,41.70138189,38.53767123,0.0
60930012002,-121.797844,41.43191953,38.53767123,0.0
60930008004,-123.0731047,41.5182613,38.53767123,0.0
60930009021,-122.4140898,41.56781303,38.53767123,0.0
60930008003,-122.767404,41.46823543,38.53767123,0.0
60930010034,-122.272691,41.38341394,38.53767123,0.0
60930013003,-123.3948415,41.62116935,38.53767123,0.0
60930009023,-122.3319307,41.4964215,38.53767123,0.0
60930013001,-123.2661952,41.88703491,38.53767123,0.0
60930009014,-122.3757074,41.40659974,38.53767123,0.0
60930009012,-122.4927756,41.42142346,38.53767123,0.0
60930010033,-122.2995116,41.30869987,38.53767123,0.0
60930007023,-122.6086112,41.74180872,38.53767123,0.0
60930009015,-122.3721725,41.42731655,38.53767123,0.0
60930010021,-122.322389,41.30031734,38.53767123,0.0
60930010011,-122.4288148,41.29036906,38.53767123,0.0
60930009022,-122.375214,41.52092568,38.53767123,0.0
60930010032,-122.3043352,41.32237347,38.53767123,0.0
60930009013,-122.3859555,41.42367952,38.53767123,0.0
60930009011,-122.3991062,41.43498843,38.53767123,0.0
60376214001,-118.3776349,33.82125422,31.29245614,0.0
60376214002,-118.3811772,33.8212082,31.29245614,0.0
60376214003,-118.3799322,33.82376283,31.29245614,0.0
60376214004,-118.3815847,33.82690351,30.71,0.0
60530141103,-121.7026908,36.60075602,38.53767123,0.0
60530141101,-121.6705282,36.57493631,38.53767123,0.0
60530141094,-121.7606132,36.61534082,38.53767123,0.0
60530141093,-121.7331924,36.65274932,38.53767123,0.0
60530141092,-121.7990231,36.63966042,38.53767123,0.0
60530141091,-121.8060077,36.63019245,38.53767123,0.0
60376500012,-118.3221452,33.88256847,39.836875,0.0
60376500014,-118.3214046,33.87945865,40.01615385,0.0
60376503002,-118.3477349,33.87037169,38.23060606,0.0
60376503003,-118.3488594,33.86702314,38.23060606,0.0
60376503005,-118.3510426,33.86162396,37.2440625,0.0
60376512222,-118.3560389,33.81068996,36.53162162,0.0
60376513026,-118.3859014,33.80653901,29.05835821,0.0
60374081331,-117.9073552,34.02554973,42.329375,0.0
60376513021,-118.3621949,33.80833114,34.4572,0.0
60376513022,-118.3651021,33.80653074,34.65,0.0
60376513023,-118.3682187,33.80505902,33.13591549,0.0
60373103002,-118.3176593,34.19913742,43.59447761,0.0
60373104001,-118.3265455,34.2001562,43.78647059,0.0
60373104002,-118.3319296,34.20273334,43.83985507,0.0
60374083031,-118.00938,34.03380512,39.23882353,0.0
60374084011,-117.9797206,34.01612129,41.80107692,0.0
60374084012,-117.9845173,34.02080859,40.4315625,0.0
60376700011,-118.3133887,33.80346034,39.50561644,0.0
60376700012,-118.3199473,33.80427743,39.50561644,0.0
60376700022,-118.3147215,33.79483453,38.68753425,0.0
60376700031,-118.3201896,33.8003536,39.50561644,0.0
60375433213,-118.2621264,33.86955411,41.21,0.0
60730124022,-117.0873525,32.64303815,36.87205882,0.0
60530141104,-121.6871666,36.62046977,38.53767123,0.0
60530141102,-121.6653357,36.60805931,38.53767123,0.0
61070004013,-119.4081186,36.55012695,37.87324324,0.0
60990040001,-121.0950959,37.65986744,38.53767123,0.0
60990025033,-120.9614157,37.58803176,38.53767123,0.0
60990001011,-120.7735764,37.80957326,38.53767123,0.0
60990032012,-121.1274251,37.47696637,38.53767123,0.0
60590995102,-118.0831683,33.76156649,36.51633333,0.0
60590995114,-118.1008226,33.73844261,33.86,0.0
60590111012,-117.9458335,33.85681086,42.4996875,0.0
61070039022,-118.9786076,36.06120211,46.02220779,0.0
61070039023,-118.9679208,36.05867685,45.84025641,0.0
61070040001,-118.9836906,36.03810959,44.55051948,0.0
60730101071,-117.0803212,32.58612261,38.08107692,0.0
60730101072,-117.0764423,32.58218474,38.08107692,0.0
60730101073,-117.0792246,32.57848221,38.08107692,0.0
60730101101,-117.0890474,32.57969878,37.40047619,0.0
60730101102,-117.0862389,32.57283738,37.6416129,0.0
60730101104,-117.0906046,32.56915933,37.6416129,0.0
60730101105,-117.0883263,32.56347467,35.2542623,0.0
