GEOID,Latitude,Longitude
060259400003,-114.66627842626653,32.74149890576806
060250108002,-115.39240120471845,32.765873928770084
060250108001,-115.35143091086938,32.83637387707079
060250111003,-115.69057288302297,32.79329266432292
060730100132,-117.04291626189092,32.55361523652435
060450103005,-123.62255989881602,39.45409410780608
060450110031,-123.7491301994179,39.37184880826937
060450110042,-123.67195925514795,39.311313502095615
060450106021,-123.3562153309478,39.50472479678102
060450113004,-123.31610514695814,39.127499201555025
060450106022,-123.41578834139519,39.46930569722943
060450106023,-123.40175132002051,39.438086969396146
060450102003,-123.49457496434547,39.67150409223377
060450106012,-123.43086623837516,39.34555170880952
060450108015,-123.2226957593491,39.26565246817803
060450115021,-123.20283242060896,39.158871540705626
060450106013,-123.32551651188444,39.414221527686585
060450106011,-123.27601207168718,39.397593674052
060450115013,-123.21231958641228,39.16322765118384
060450115011,-123.21086859239419,39.155455526877155
060450110033,-123.79215366401914,39.39030278143229
060450115023,-123.19042701119398,39.14580538767974
060450115022,-123.20021609805735,39.1479998032465
060450110012,-123.71795481609782,39.243424909936685
060450110032,-123.8172544909278,39.38687703314423
060450110043,-123.78608819804474,39.33256251241626
060450110041,-123.79946577797084,39.309397018659084
060871006001,-122.04499466235653,36.965071768687466
060450114004,-123.21132519296404,39.13319884866761
060450103004,-123.7869407423245,39.41777773943725
060450115012,-123.22025778119628,39.16496886305662
060450105004,-123.8004930173307,39.43493232565553
060450105005,-123.78723799275765,39.43684931488843
060871209012,-122.028414163317,37.05216928744142
060871209021,-122.00730378693925,37.06011671327744
060871209022,-122.01309276654995,37.0648787823236
060871216012,-121.97858620917278,36.95663499795233
060871224011,-121.78253634452855,37.02035011360798
060871216022,-121.97054126253704,36.96550099097213
060871105032,-121.76778455499594,36.92536100342162
060871103022,-121.7613726553405,36.91351835281528
060871105062,-121.77498441357864,36.920073439051485
060871102023,-121.75499646906269,36.93078947227589
060871105051,-121.76885069526982,36.92039749824304
060871105052,-121.7613363537888,36.91892765089813
060871102021,-121.75823243691073,36.9242847215474
060871102022,-121.75064119954351,36.92560993242906
060871102011,-121.7528992423493,36.92010644147253
060871103021,-121.75672023937658,36.91532941825651
060371171013,-118.46532172957234,34.2391400906876
060371352042,-118.64750804457604,34.18402606234727
060374601015,-118.10382957746631,34.18642773811522
060371323022,-118.53167375084523,34.19567187541683
060371278043,-118.4625497628546,34.196564288937005
060371351152,-118.60798742225748,34.18472007210649
060371323011,-118.5229489165091,34.19925318034434
060371349072,-118.59300059323087,34.19248060799822
060371190032,-118.42968338947556,34.24736268349349
060371114011,-118.49669130539226,34.253929272378386
060371034011,-118.31838499500851,34.25396878045649
060373104003,-118.34018979822035,34.20351918659618
060310007014,-119.63153400340562,36.36032683804808
060310002002,-119.87964593420811,36.33588785292571
060376510024,-118.32393133262552,33.80836087778818
060376511011,-118.33268851367573,33.818381461927075
060376511012,-118.33813817014811,33.806448563047596
060376512011,-118.37218754272561,33.82306169652539
060376512211,-118.3568955198962,33.82247130406208
060930013002,-123.38832340253848,41.800293118457404
060871103011,-121.75474716936716,36.910388760024816
060871104012,-121.76561205829297,36.89793862844937
060590865023,-117.9111484860345,33.84527515961177
060590994023,-118.00216993165455,33.70825665242214
060590995094,-118.08843035203353,33.773242018744256
060730101033,-117.10120814052517,32.579816279153945
060730101042,-117.09700757404836,32.57283871296625
060730101032,-117.0958414189721,32.58042907613675
060730101061,-117.07051896972192,32.57249544344317
060730101062,-117.07783787935648,32.57358190543323
060730101063,-117.07074825236164,32.56790227669145
060930013004,-122.63774115583654,41.93659567009929
060930002002,-121.85306699973819,41.84532406950198
060930006002,-122.91185994794286,41.701381885505405
060930012002,-121.79784396224167,41.43191953390705
060930008004,-123.07310467459,41.51826130462022
060930009021,-122.41408979379956,41.56781302924026
060930008003,-122.76740404063278,41.46823542545068
060930010034,-122.27269097139923,41.3834139404761
060930013003,-123.39484145197682,41.62116935356337
060930009023,-122.33193067641335,41.496421498234604
060930013001,-123.26619522359748,41.887034909022745
060930009014,-122.3757073738421,41.40659973956372
060930009012,-122.4927755622144,41.421423457330164
060930010033,-122.29951162618207,41.30869987197494
060930007023,-122.60861119803604,41.74180871856181
060930009015,-122.37217247957518,41.427316547970456
060930010021,-122.32238899712482,41.30031734011852
060930010011,-122.42881481784477,41.29036905675101
060930009022,-122.37521399649073,41.520925676286794
060930010032,-122.3043351945114,41.32237346539241
060930009013,-122.38595552496625,41.42367952144074
060930009011,-122.3991062476206,41.43498842962372
060376214001,-118.37763490474269,33.821254218398344
060376214002,-118.38117724429864,33.821208197885
060376214003,-118.3799321585984,33.823762833266606
060376214004,-118.38158473052572,33.82690350805639
060530141103,-121.70269078343965,36.60075602240829
060530141101,-121.67052822589784,36.574936310503844
060530141094,-121.76061322916355,36.61534081710574
060530141093,-121.7331923837201,36.652749321725864
060530141092,-121.79902305037959,36.63966042353566
060530141091,-121.8060077311493,36.63019245040023
060376500012,-118.32214523529578,33.88256846844736
060376500014,-118.32140460503373,33.87945864788656
060376503002,-118.34773491450822,33.87037169061443
060376503003,-118.34885935730574,33.86702313865309
060376503005,-118.35104258197919,33.86162396022012
060376512222,-118.3560388745267,33.810689957896514
060376513026,-118.385901437121,33.80653900948542
060374081331,-117.9073552271542,34.025549733860004
060376513021,-118.3621948775907,33.80833113773754
060376513022,-118.36510210624134,33.806530737767936
060376513023,-118.36821865033924,33.80505901527113
060373103002,-118.31765928998625,34.199137420155054
060373104001,-118.32654547514649,34.200156200556506
060373104002,-118.3319296190205,34.20273334186801
060374083031,-118.00938002477685,34.03380511756071
060374084011,-117.97972062537124,34.01612128834631
060374084012,-117.9845172841861,34.02080859159711
060376700011,-118.31338869239467,33.803460343259125
060376700012,-118.31994728185046,33.804277426084106
060376700022,-118.31472146312738,33.794834529415816
060376700031,-118.32018963473357,33.800353603393766
060375433213,-118.2621263662018,33.869554113987675
060730124022,-117.08735252366976,32.64303814874718
060530141104,-121.6871666095834,36.62046976689703
060530141102,-121.66533569233167,36.60805930695465
061070004013,-119.40811863837831,36.55012695494098
060990040001,-121.09509587143155,37.65986744006663
060990025033,-120.96141567532753,37.58803176162511
060990001011,-120.77357639991953,37.80957326209218
060990032012,-121.12742507031992,37.476966368373766
060590995102,-118.08316826020797,33.761566487729795
060590995114,-118.10082262498574,33.73844261036973
060590111012,-117.94583347675581,33.85681085505324
