Median_Household_Income,Population_Below_Poverty,High_School_Diploma_25plus,Bachelors_Degree_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,State,County,Tract,Block Group
125208.0,,162.0,229.0,58.0,688600.0,2308.0,40.0,1148.0,42.5,32099.0,9.0,06,071,000103,1
153000.0,,47.0,327.0,9.0,621000.0,2086.0,83.0,1196.0,40.9,45516.0,7.0,06,071,000103,2
90405.0,,175.0,385.0,76.0,447200.0,1884.0,360.0,2026.0,33.6,37625.0,16.0,06,071,000103,3
124110.0,,151.0,854.0,94.0,836900.0,3081.0,117.0,2859.0,42.7,44321.0,116.0,06,071,000104,1
101250.0,,275.0,266.0,151.0,713600.0,2310.0,180.0,1699.0,42.3,37051.0,8.0,06,071,000104,2
122761.0,,251.0,519.0,56.0,659400.0,2199.0,241.0,2394.0,36.8,41033.0,21.0,06,071,000104,3
90750.0,,108.0,396.0,28.0,675500.0,2105.0,332.0,1757.0,38.3,40033.0,0.0,06,071,000105,1
130821.0,,248.0,1123.0,88.0,819400.0,3325.0,82.0,3674.0,44.9,47739.0,22.0,06,071,000105,2
111250.0,,364.0,533.0,81.0,618000.0,2214.0,190.0,2759.0,42.9,39481.0,21.0,06,071,000107,1
110294.0,,55.0,242.0,59.0,655300.0,2363.0,189.0,1657.0,40.9,37757.0,0.0,06,071,000108,1
74033.0,,141.0,387.0,25.0,729000.0,2188.0,338.0,1730.0,36.6,41014.0,11.0,06,071,000108,2
76912.0,,171.0,619.0,72.0,548700.0,2279.0,568.0,2959.0,27.8,28184.0,99.0,06,071,000108,3
126131.0,,47.0,307.0,134.0,802400.0,2233.0,61.0,2168.0,39.5,33807.0,38.0,06,071,000109,1
136711.0,,73.0,107.0,10.0,623600.0,-666666666.0,18.0,728.0,42.6,46563.0,0.0,06,071,000109,2
104279.0,,102.0,315.0,98.0,641900.0,2688.0,130.0,1548.0,45.1,41821.0,0.0,06,071,000109,3
121964.0,,28.0,319.0,49.0,626200.0,-666666666.0,38.0,1537.0,37.6,38158.0,57.0,06,071,000109,4
105344.0,,214.0,383.0,19.0,648600.0,-666666666.0,40.0,1044.0,37.0,39971.0,50.0,06,071,000109,5
90625.0,,60.0,99.0,47.0,539100.0,1148.0,38.0,876.0,44.2,35159.0,15.0,06,071,000111,1
101250.0,,105.0,442.0,59.0,800000.0,2932.0,60.0,1774.0,46.9,57170.0,62.0,06,071,000111,2
98000.0,,490.0,568.0,64.0,679900.0,2436.0,302.0,2815.0,42.8,42454.0,0.0,06,071,000115,1
111111.0,,186.0,175.0,0.0,581900.0,-666666666.0,92.0,1012.0,28.9,36349.0,48.0,06,071,000115,2
79748.0,,317.0,429.0,27.0,634600.0,2399.0,941.0,3420.0,30.1,43563.0,38.0,06,071,000115,3
94310.0,,36.0,332.0,0.0,654000.0,3128.0,67.0,1080.0,33.2,41658.0,0.0,06,071,000115,4
107022.0,,148.0,624.0,74.0,843600.0,3501.0,163.0,2551.0,40.4,44001.0,32.0,06,071,000117,1
135904.0,,132.0,510.0,116.0,820000.0,2066.0,139.0,2280.0,49.1,51535.0,0.0,06,071,000117,2
87857.0,,81.0,221.0,63.0,383000.0,1931.0,143.0,935.0,45.4,49812.0,0.0,06,071,000117,3
157083.0,,0.0,198.0,21.0,842100.0,-666666666.0,37.0,577.0,47.9,59129.0,0.0,06,071,000117,4
116930.0,,207.0,829.0,46.0,874500.0,3501.0,50.0,2825.0,46.8,50211.0,24.0,06,071,000118,1
141734.0,,127.0,551.0,32.0,786300.0,-666666666.0,36.0,1746.0,40.5,52197.0,5.0,06,071,000118,2
68188.0,,636.0,432.0,38.0,-666666666.0,2163.0,405.0,2391.0,29.5,26878.0,31.0,06,071,000119,1
48043.0,,421.0,211.0,68.0,68600.0,1717.0,411.0,1375.0,59.6,42494.0,0.0,06,071,000119,2
168642.0,,77.0,163.0,33.0,711100.0,-666666666.0,15.0,790.0,55.1,67203.0,14.0,06,071,000120,1
