Median_Household_Income,Population_Below_Poverty,High_School_Diploma_25plus,Bachelors_Degree_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,State,County,Tract,Block Group
46364.0,,141.0,57.0,80.0,240200.0,1092.0,277.0,2069.0,23.1,12838.0,139.0,06,071,002801,2
51774.0,,323.0,483.0,128.0,196600.0,1550.0,1537.0,3768.0,27.8,25345.0,79.0,06,071,000821,1
46534.0,,266.0,29.0,58.0,280600.0,905.0,248.0,1130.0,30.4,15904.0,89.0,06,071,002801,3
70670.0,,443.0,80.0,101.0,237100.0,1283.0,124.0,2311.0,30.5,17917.0,21.0,06,071,002801,1
31042.0,,171.0,54.0,152.0,161000.0,998.0,273.0,1975.0,24.4,17144.0,111.0,06,071,007603,3
22902.0,,180.0,164.0,25.0,190400.0,758.0,273.0,1217.0,40.9,14833.0,44.0,06,071,007603,2
50342.0,,396.0,305.0,249.0,105300.0,987.0,395.0,1824.0,31.0,24263.0,130.0,06,071,010419,3
69231.0,,295.0,169.0,86.0,254300.0,1331.0,147.0,2077.0,35.7,24050.0,0.0,06,071,008601,3
47686.0,,381.0,82.0,140.0,252600.0,957.0,349.0,1992.0,32.7,20171.0,46.0,06,071,008601,4
86482.0,,1076.0,1429.0,348.0,377900.0,1233.0,761.0,10993.0,30.4,25618.0,145.0,06,071,002304,2
95078.0,,945.0,385.0,42.0,348600.0,2237.0,374.0,5038.0,33.5,27716.0,29.0,06,071,002304,3
47113.0,,127.0,76.0,123.0,-666666666.0,1160.0,46.0,1251.0,35.7,14583.0,49.0,06,071,002305,3
93360.0,,651.0,469.0,219.0,327900.0,2389.0,237.0,5148.0,33.7,29849.0,95.0,06,071,002305,1
61923.0,,363.0,242.0,20.0,278800.0,1525.0,188.0,2542.0,30.6,18569.0,17.0,06,071,002305,4
113534.0,,215.0,70.0,91.0,291500.0,-666666666.0,66.0,1010.0,34.4,32967.0,0.0,06,071,002037,1
82411.0,,159.0,189.0,89.0,321200.0,-666666666.0,42.0,1603.0,37.0,29310.0,44.0,06,071,002037,2
76786.0,,142.0,36.0,60.0,247700.0,1286.0,84.0,934.0,23.6,18803.0,26.0,06,071,002107,1
74274.0,,369.0,57.0,0.0,227800.0,1468.0,134.0,1553.0,43.7,35990.0,53.0,06,071,010004,2
59325.0,,309.0,145.0,121.0,234100.0,1493.0,319.0,2380.0,35.6,23206.0,23.0,06,071,010004,4
68750.0,,246.0,147.0,58.0,251200.0,1393.0,195.0,1112.0,42.7,32717.0,29.0,06,071,010004,1
43860.0,,479.0,179.0,113.0,186300.0,1118.0,236.0,2525.0,42.0,23108.0,133.0,06,071,009708,2
29702.0,,461.0,261.0,326.0,116500.0,716.0,1368.0,3970.0,23.4,16619.0,378.0,06,071,010421,2
24357.0,,237.0,60.0,25.0,87400.0,-666666666.0,72.0,792.0,56.0,24969.0,25.0,06,071,010423,3
38827.0,,142.0,60.0,43.0,301200.0,1237.0,101.0,813.0,26.1,13078.0,57.0,06,071,000205,3
105724.0,,38.0,73.0,20.0,303900.0,-666666666.0,18.0,694.0,45.3,39813.0,15.0,06,071,007901,1
108036.0,,202.0,175.0,67.0,393500.0,-666666666.0,14.0,1641.0,40.5,37357.0,43.0,06,071,007901,3
133438.0,,571.0,674.0,76.0,417600.0,1659.0,191.0,4607.0,39.7,39153.0,55.0,06,071,007901,4
-666666666.0,,196.0,71.0,0.0,346600.0,989.0,163.0,956.0,28.5,38400.0,16.0,06,071,008301,1
72917.0,,176.0,194.0,0.0,333600.0,1693.0,107.0,933.0,50.7,36186.0,0.0,06,071,008301,2
90083.0,,100.0,296.0,34.0,383300.0,-666666666.0,65.0,1402.0,48.8,33020.0,0.0,06,071,008301,4
49167.0,,216.0,281.0,121.0,-666666666.0,1381.0,807.0,1655.0,31.5,24744.0,0.0,06,071,008301,3
118833.0,,127.0,305.0,29.0,436200.0,-666666666.0,33.0,1454.0,54.3,49540.0,26.0,06,071,008301,5
50956.0,,293.0,123.0,107.0,246600.0,979.0,230.0,2613.0,33.7,17820.0,73.0,06,071,004004,2
55929.0,,254.0,0.0,22.0,206100.0,825.0,215.0,1324.0,36.4,20065.0,8.0,06,071,003606,1
129554.0,,223.0,276.0,115.0,418000.0,2230.0,91.0,2157.0,40.8,38513.0,16.0,06,071,002021,2
113070.0,,845.0,447.0,118.0,375400.0,1570.0,90.0,6372.0,32.7,17189.0,16.0,06,071,002706,1
66885.0,,292.0,49.0,128.0,289200.0,1681.0,190.0,1998.0,38.5,21338.0,0.0,06,071,007403,1
27462.0,,74.0,48.0,0.0,160400.0,842.0,409.0,1799.0,23.1,11863.0,218.0,06,071,007403,3
54028.0,,85.0,188.0,69.0,95000.0,835.0,295.0,1355.0,31.5,20445.0,135.0,06,071,009500,3
48065.0,,176.0,27.0,128.0,156100.0,1174.0,128.0,1572.0,29.8,17029.0,77.0,06,071,009713,1
70972.0,,262.0,69.0,68.0,167500.0,1315.0,31.0,1370.0,35.0,38543.0,18.0,06,071,009713,2
50486.0,,487.0,134.0,178.0,155900.0,1317.0,282.0,2678.0,37.8,23749.0,48.0,06,071,009713,3
38777.0,,149.0,24.0,40.0,147400.0,-666666666.0,70.0,1186.0,27.3,17030.0,88.0,06,071,009713,4
20052.0,,208.0,35.0,112.0,170800.0,814.0,455.0,1704.0,27.7,21833.0,196.0,06,071,009716,3
36161.0,,502.0,101.0,155.0,163800.0,859.0,481.0,3413.0,33.2,18587.0,214.0,06,071,009716,1
31875.0,,166.0,84.0,212.0,126700.0,815.0,544.0,2208.0,25.8,10427.0,133.0,06,071,009716,2
44180.0,,220.0,124.0,97.0,110100.0,876.0,318.0,1787.0,31.8,22689.0,4.0,06,071,010409,1
16379.0,,267.0,75.0,147.0,-666666666.0,460.0,204.0,900.0,59.3,13087.0,49.0,06,071,010409,2
135459.0,,203.0,321.0,53.0,499600.0,2719.0,101.0,2093.0,38.2,32745.0,0.0,06,071,002031,3
76739.0,,197.0,431.0,120.0,341300.0,1805.0,179.0,2628.0,38.6,32637.0,0.0,06,071,002035,2
101509.0,,404.0,294.0,121.0,417000.0,1842.0,167.0,2803.0,40.8,33337.0,8.0,06,071,002025,2
124250.0,,283.0,323.0,89.0,441300.0,2700.0,50.0,1795.0,44.1,39221.0,31.0,06,071,002029,4
93889.0,,209.0,335.0,47.0,394800.0,1750.0,60.0,1464.0,38.9,34641.0,0.0,06,071,002029,1
-666666666.0,,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,-666666666.0,-666666666.0,0.0,06,071,980100,1
63710.0,,154.0,37.0,20.0,231300.0,1508.0,64.0,1137.0,43.5,19090.0,8.0,06,071,003302,2
40833.0,,394.0,32.0,190.0,167200.0,1097.0,265.0,3268.0,32.4,11267.0,150.0,06,071,003606,3
44048.0,,458.0,87.0,103.0,50500.0,967.0,271.0,2313.0,30.4,13552.0,91.0,06,071,003302,3
31700.0,,170.0,94.0,67.0,-666666666.0,999.0,326.0,1231.0,22.3,13240.0,102.0,06,071,003302,4
70144.0,,381.0,94.0,85.0,-666666666.0,-666666666.0,0.0,1493.0,36.8,32852.0,66.0,06,071,008706,5
64031.0,,245.0,103.0,108.0,333000.0,1402.0,100.0,1854.0,35.8,26051.0,0.0,06,071,009119,2
74886.0,,269.0,98.0,115.0,292300.0,1971.0,32.0,1687.0,32.8,26344.0,31.0,06,071,002706,2
86875.0,,362.0,302.0,136.0,294300.0,2083.0,73.0,2363.0,35.8,28776.0,7.0,06,071,002706,3
63793.0,,363.0,90.0,33.0,196400.0,-666666666.0,54.0,1990.0,44.4,25394.0,0.0,06,071,009119,3
52109.0,,450.0,63.0,28.0,233600.0,736.0,139.0,2086.0,28.4,15638.0,33.0,06,071,009109,1
70139.0,,302.0,25.0,0.0,140400.0,943.0,136.0,1474.0,41.9,22882.0,27.0,06,071,009109,2
110278.0,,209.0,92.0,0.0,694000.0,-666666666.0,36.0,894.0,48.5,44938.0,0.0,06,071,000814,1
106641.0,,136.0,339.0,36.0,585900.0,2831.0,93.0,1453.0,48.9,39315.0,17.0,06,071,000814,2
72589.0,,101.0,52.0,0.0,147800.0,1252.0,121.0,1188.0,29.9,22412.0,17.0,06,071,011900,4
70455.0,,40.0,55.0,21.0,114400.0,-666666666.0,37.0,385.0,21.0,15140.0,0.0,06,071,011900,2
133646.0,,54.0,147.0,0.0,374200.0,-666666666.0,10.0,823.0,50.0,45312.0,13.0,06,071,007302,6
93929.0,,236.0,513.0,47.0,403700.0,1656.0,449.0,2104.0,33.9,47460.0,75.0,06,071,007302,3
71888.0,,366.0,408.0,101.0,320600.0,1845.0,200.0,2394.0,50.2,33275.0,22.0,06,071,007302,4
128563.0,,237.0,200.0,47.0,416800.0,-666666666.0,0.0,1389.0,54.1,47298.0,8.0,06,071,007302,2
86364.0,,208.0,97.0,33.0,313900.0,-666666666.0,32.0,1192.0,45.3,27854.0,17.0,06,071,004503,2
27871.0,,255.0,49.0,129.0,128300.0,1010.0,191.0,2423.0,25.4,8144.0,154.0,06,071,004900,2
20395.0,,138.0,45.0,168.0,131100.0,798.0,537.0,2760.0,21.8,6716.0,331.0,06,071,004900,3
22773.0,,170.0,17.0,73.0,178100.0,459.0,270.0,976.0,25.3,9997.0,85.0,06,071,005800,3
17364.0,,223.0,18.0,32.0,-666666666.0,780.0,455.0,1519.0,27.0,7726.0,142.0,06,071,005800,1
47404.0,,322.0,56.0,116.0,134400.0,896.0,312.0,2203.0,30.3,13833.0,68.0,06,071,007000,1
35602.0,,272.0,29.0,99.0,133200.0,1079.0,518.0,2018.0,33.7,14970.0,109.0,06,071,007000,3
26867.0,,10.0,71.0,66.0,181000.0,982.0,218.0,1836.0,23.6,13023.0,214.0,06,071,007000,2
44515.0,,162.0,54.0,134.0,156800.0,1473.0,81.0,902.0,35.3,17920.0,11.0,06,071,005200,3
70313.0,,110.0,63.0,24.0,177800.0,-666666666.0,21.0,642.0,48.7,25747.0,29.0,06,071,005200,4
38036.0,,134.0,130.0,111.0,259500.0,794.0,329.0,1045.0,38.7,26096.0,10.0,06,071,005200,1
41722.0,,63.0,93.0,0.0,242100.0,-666666666.0,75.0,626.0,46.1,25803.0,49.0,06,071,006100,7
