Median_Household_Income,Population_Below_Poverty,High_School_Diploma_25plus,Bachelors_Degree_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,State,County,Tract,Block Group
55771.0,,64.0,290.0,100.0,299400.0,1287.0,268.0,3245.0,21.4,16062.0,17.0,06,071,008401,5
72031.0,,247.0,488.0,111.0,446200.0,1079.0,244.0,2124.0,35.6,33620.0,43.0,06,071,008401,1
-666666666.0,,138.0,153.0,22.0,338500.0,2309.0,126.0,955.0,41.4,39969.0,23.0,06,071,008401,2
116833.0,,355.0,287.0,115.0,508800.0,379.0,69.0,2141.0,49.7,39100.0,12.0,06,071,008703,1
153088.0,,0.0,108.0,0.0,496500.0,-666666666.0,40.0,622.0,34.9,43046.0,0.0,06,071,010902,4
34559.0,,79.0,68.0,39.0,261000.0,-666666666.0,41.0,522.0,39.2,14697.0,35.0,06,071,010902,5
46402.0,,243.0,20.0,111.0,249000.0,985.0,203.0,1968.0,24.9,14458.0,111.0,06,071,004507,3
31193.0,,414.0,102.0,41.0,112800.0,646.0,463.0,1768.0,40.7,23150.0,168.0,06,071,010700,2
39076.0,,204.0,25.0,27.0,71200.0,850.0,135.0,635.0,51.7,21412.0,19.0,06,071,010700,1
60000.0,,590.0,62.0,163.0,237100.0,904.0,358.0,2341.0,33.0,18891.0,118.0,06,071,010019,2
42298.0,,175.0,38.0,51.0,253000.0,1517.0,89.0,1075.0,42.6,17903.0,31.0,06,071,010019,3
81563.0,,566.0,339.0,196.0,423900.0,-666666666.0,297.0,4886.0,31.1,29156.0,153.0,06,071,002301,2
74348.0,,125.0,41.0,35.0,352300.0,-666666666.0,66.0,895.0,54.6,22327.0,16.0,06,071,002301,1
47538.0,,251.0,112.0,22.0,312600.0,1283.0,229.0,1874.0,33.7,15284.0,50.0,06,071,002501,3
65417.0,,308.0,49.0,25.0,316300.0,1260.0,204.0,2124.0,27.0,16134.0,100.0,06,071,002501,2
52532.0,,296.0,112.0,34.0,341900.0,1381.0,141.0,1428.0,29.6,12269.0,89.0,06,071,002501,4
50859.0,,374.0,22.0,57.0,326100.0,1139.0,186.0,1623.0,31.0,18857.0,88.0,06,071,003401,4
49737.0,,284.0,59.0,134.0,320700.0,946.0,260.0,1934.0,24.9,13635.0,115.0,06,071,003401,2
60455.0,,254.0,211.0,87.0,47400.0,1585.0,391.0,2566.0,29.0,18022.0,68.0,06,071,002204,2
95536.0,,393.0,211.0,58.0,448800.0,2216.0,127.0,2732.0,34.6,24959.0,26.0,06,071,000304,2
38445.0,,303.0,51.0,75.0,446200.0,1050.0,313.0,1599.0,47.8,17558.0,45.0,06,071,000304,3
167866.0,,162.0,414.0,67.0,667900.0,-666666666.0,15.0,2741.0,44.6,81831.0,0.0,06,071,008500,1
119676.0,,70.0,237.0,89.0,567500.0,-666666666.0,0.0,1055.0,53.6,74011.0,17.0,06,071,008500,2
91250.0,,49.0,139.0,26.0,458000.0,-666666666.0,38.0,731.0,41.6,31294.0,0.0,06,071,008500,5
120192.0,,194.0,340.0,18.0,547600.0,2598.0,74.0,2278.0,44.9,52665.0,0.0,06,071,008500,3
73804.0,,201.0,85.0,77.0,272500.0,1125.0,73.0,1252.0,33.6,23762.0,0.0,06,071,002902,1
65208.0,,187.0,68.0,46.0,317500.0,1552.0,43.0,895.0,42.0,21352.0,25.0,06,071,002902,4
62500.0,,346.0,36.0,43.0,311500.0,1665.0,85.0,1336.0,31.2,19665.0,9.0,06,071,002902,3
27969.0,,155.0,162.0,27.0,335800.0,1091.0,484.0,1612.0,32.4,14544.0,86.0,06,071,002902,2
29776.0,,283.0,42.0,84.0,210300.0,999.0,325.0,2090.0,23.9,15235.0,142.0,06,071,007601,1
22282.0,,337.0,8.0,269.0,150400.0,945.0,275.0,2118.0,29.2,11012.0,249.0,06,071,007601,2
75234.0,,138.0,49.0,30.0,340900.0,-666666666.0,16.0,800.0,30.0,19639.0,0.0,06,071,002401,4
39688.0,,161.0,59.0,117.0,273700.0,1213.0,192.0,1497.0,27.1,14643.0,43.0,06,071,002401,3
93553.0,,280.0,165.0,0.0,325200.0,1128.0,107.0,1696.0,32.7,20984.0,38.0,06,071,002401,2
64186.0,,367.0,108.0,20.0,277100.0,1427.0,439.0,2194.0,26.9,17617.0,63.0,06,071,002402,4
41864.0,,279.0,120.0,50.0,316500.0,1591.0,107.0,2152.0,31.0,17445.0,46.0,06,071,002402,2
48289.0,,369.0,26.0,72.0,319800.0,1100.0,32.0,1906.0,29.9,12346.0,93.0,06,071,002402,3
31883.0,,346.0,76.0,74.0,283300.0,1176.0,319.0,1562.0,32.7,15518.0,101.0,06,071,003700,1
50956.0,,152.0,98.0,26.0,308400.0,1438.0,269.0,1476.0,23.9,21811.0,45.0,06,071,004601,2
44844.0,,177.0,59.0,144.0,-666666666.0,1417.0,509.0,1224.0,25.1,19728.0,49.0,06,071,004601,3
82868.0,,282.0,81.0,136.0,275600.0,-666666666.0,80.0,2050.0,23.3,24227.0,65.0,06,071,004601,4
39750.0,,141.0,41.0,73.0,150500.0,1208.0,73.0,1078.0,37.6,12951.0,67.0,06,071,004700,3
153897.0,,100.0,657.0,97.0,654800.0,2823.0,40.0,2513.0,42.5,53332.0,0.0,06,071,000113,1
72600.0,,279.0,532.0,137.0,367800.0,2085.0,220.0,3598.0,37.9,23320.0,130.0,06,071,000113,5
62250.0,,819.0,351.0,75.0,-666666666.0,1447.0,193.0,2441.0,30.5,18791.0,26.0,06,071,000113,2
20577.0,,201.0,53.0,111.0,29300.0,849.0,383.0,2096.0,25.7,9724.0,284.0,06,071,009116,3
75000.0,,218.0,193.0,59.0,426300.0,2041.0,204.0,1552.0,32.1,31448.0,18.0,06,071,001703,1
67292.0,,338.0,104.0,40.0,414300.0,-666666666.0,45.0,1455.0,39.4,22958.0,7.0,06,071,001703,3
99500.0,,185.0,183.0,28.0,495000.0,-666666666.0,8.0,1576.0,44.1,34566.0,12.0,06,071,001703,4
117650.0,,180.0,197.0,0.0,421800.0,1833.0,32.0,1097.0,37.7,31596.0,12.0,06,071,001703,2
50302.0,,74.0,53.0,0.0,-666666666.0,1607.0,487.0,1189.0,28.4,23500.0,69.0,06,071,007800,3
70588.0,,163.0,529.0,60.0,287500.0,1572.0,749.0,2397.0,32.2,32885.0,16.0,06,071,007800,2
49519.0,,452.0,124.0,107.0,225600.0,1220.0,262.0,2317.0,33.0,20371.0,36.0,06,071,010009,1
96116.0,,596.0,371.0,184.0,379800.0,1426.0,62.0,2867.0,40.9,34567.0,0.0,06,071,009711,1
36047.0,,326.0,78.0,52.0,197300.0,1063.0,301.0,1981.0,22.7,14039.0,133.0,06,071,009712,4
88682.0,,476.0,147.0,78.0,277200.0,1371.0,137.0,2249.0,45.0,32451.0,20.0,06,071,009717,2
60625.0,,277.0,87.0,76.0,355900.0,999.0,141.0,1967.0,33.1,27349.0,47.0,06,071,009717,1
35333.0,,321.0,130.0,30.0,165200.0,1052.0,194.0,1796.0,35.7,16212.0,144.0,06,071,010410,1
42222.0,,291.0,178.0,121.0,139800.0,950.0,92.0,1330.0,46.2,28448.0,10.0,06,071,010410,2
104904.0,,204.0,426.0,44.0,645400.0,1915.0,219.0,2063.0,35.6,34789.0,9.0,06,071,000104,3
138365.0,,261.0,876.0,137.0,757000.0,3131.0,158.0,3278.0,44.1,44505.0,13.0,06,071,000104,1
96523.0,,157.0,221.0,26.0,359000.0,2257.0,132.0,1434.0,38.2,26640.0,20.0,06,071,000401,1
86250.0,,239.0,323.0,119.0,543500.0,1409.0,285.0,2064.0,31.5,25546.0,76.0,06,071,000401,3
30813.0,,329.0,63.0,57.0,325000.0,921.0,552.0,1619.0,38.4,15037.0,93.0,06,071,003000,2
28850.0,,346.0,95.0,21.0,262000.0,694.0,346.0,1635.0,39.6,20678.0,87.0,06,071,003000,1
-666666666.0,,90.0,144.0,0.0,321800.0,-666666666.0,187.0,1618.0,37.9,31285.0,16.0,06,071,008704,3
110472.0,,310.0,95.0,110.0,355000.0,-666666666.0,14.0,1632.0,40.4,29321.0,42.0,06,071,008704,2
60136.0,,236.0,17.0,19.0,224600.0,1142.0,120.0,1235.0,31.6,19118.0,0.0,06,071,008704,5
52273.0,,312.0,87.0,50.0,-666666666.0,1294.0,271.0,1287.0,32.1,19603.0,34.0,06,071,008705,1
56098.0,,385.0,29.0,84.0,107200.0,685.0,404.0,2234.0,36.0,24384.0,112.0,06,071,011600,1
65956.0,,449.0,350.0,0.0,218800.0,1396.0,270.0,2247.0,58.9,36899.0,0.0,06,071,011600,3
27250.0,,136.0,55.0,30.0,70300.0,554.0,39.0,496.0,60.6,22880.0,13.0,06,071,940100,1
135724.0,,122.0,316.0,21.0,628100.0,2615.0,37.0,1687.0,39.5,42964.0,0.0,06,071,000108,1
108173.0,,93.0,367.0,41.0,679100.0,2008.0,250.0,1436.0,36.6,44481.0,23.0,06,071,000108,2
65147.0,,216.0,22.0,9.0,241700.0,1648.0,68.0,1603.0,32.7,9897.0,7.0,06,071,006301,1
19494.0,,236.0,68.0,68.0,187800.0,1049.0,518.0,2031.0,35.7,22742.0,91.0,06,071,006301,3
